Time,Time Code,Country Name,Country Code,Rule of Law: Estimate [RL.EST],Rule of Law: Number of Sources [RL.NO.SRC],Rule of Law: Percentile Rank [RL.PER.RNK],"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval [RL.PER.RNK.LOWER]","Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval [RL.PER.RNK.UPPER]",Rule of Law: Standard Error [RL.STD.ERR]
2016,YR2016,Algeria,DZA,-0.849319279193878,13,19.230770111084,12.0192308425903,30.2884616851807,0.155995264649391
2016,YR2016,Sierra Leone,SLE,-0.791716754436493,14,21.634614944458,14.4230766296387,31.730770111084,0.1521055996418
2016,YR2016,Morocco,MAR,-0.144751846790314,14,49.038459777832,37.019229888916,58.1730766296387,0.149219915270805
2016,YR2016,Ghana,GHA,-0.00362927932292223,15,54.8076934814453,45.1923065185547,60.5769233703613,0.148265033960342
2016,YR2016,Zambia,ZMB,-0.302030891180038,14,43.269229888916,31.730770111084,52.8846168518066,0.1521055996418
2016,YR2016,Tunisia,TUN,0.0234843995422125,15,55.769229888916,46.6346168518066,61.0576934814453,0.148265033960342
2016,YR2016,Lao PDR,LAO,-0.765127241611481,10,24.0384616851807,13.942307472229,33.6538467407227,0.173786908388138
2016,YR2016,Singapore,SGP,1.83200287818909,11,96.1538467407227,90.3846130371094,100,0.164670839905739
2016,YR2016,Malaysia,MYS,0.535256743431091,13,71.1538467407227,61.0576934814453,76.9230804443359,0.153182968497276
2016,YR2016,Cambodia,KHM,-1.09599196910858,12,12.5,7.692307472229,20.1923084259033,0.163776263594627
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data from database: Worldwide Governance Indicators,,,,,,,,,
Last Updated: 10/19/2016,,,,,,,,,
